;Código da Escola;Nome da Escola;Dependência Administrativa;Aprovação;Reprovação;Abandono;NO_REGIAO;SG_UF;TP_LOCALIZACAO;IN_INTERNET_ALUNOS;IN_INTERNET_APRENDIZAGEM;IN_LABORATORIO_INFORMATICA;IN_BIBLIOTECA;IN_BANHEIRO;IN_AGUA_POTAVEL;Energia;Esgoto;IN_BANHEIRO_PNE;IN_ACESSIBILIDADE_CORRIMAO;IN_ACESSIBILIDADE_ELEVADOR;IN_ACESSIBILIDADE_VAO_LIVRE;IN_ACESSIBILIDADE_RAMPAS;IN_ACESSIBILIDADE_SINAL_SONORO;IN_ACESSIBILIDADE_SINAL_TATIL;IN_ACESSIBILIDADE_SINAL_VISUAL
6888;32039352;CEEFMTI ASSISOLINA ASSIS ANDRADE;Estadual;98.9;1.1;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0
6889;32039387;EEEFM CATHARINA CHEQUER;Estadual;99.4;0;0.6;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0
6890;32039395;ESCOLA DE EDUCACACAO BASICA E PROFISSIONAL DOUTOR RONALDO YOUNG CARNEIRO DA ROCHA;Privada;98.1;1.9;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0
6891;32039409;EEEFM FLORENTINO AVIDOS;Estadual;99.8;0.2;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0
6892;32039417;CEEFMTI PROFESSORA MAURA ABAURRE;Estadual;99.5;0.5;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
6893;32039565;EEEFM MARCILIO DIAS;Estadual;100;0;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0
6894;32039603;EEEFM JUDITH DA SILVA GOES COUTINHO;Estadual;100;0;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0
6895;32039654;CAT ARLETHE ZORZANELLI BUAIZ;Privada;100;0;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1
6896;32039867;EEEM ORMANDA GONCALVES;Estadual;99.5;0.4;0.1;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
6897;32062648;EEEM PROFESSOR AGENOR RORIS;Estadual;99.1;0.9;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
6898;32063512;CAT HELCIO REZENDE DIAS;Privada;100;0;0;Sudeste;ES;Urbana;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0
6899;32065523;SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL HELCIO REZENDE DIAS;Privada;93;0;7;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6900;32068336;ESCOLA COBE - COLEGIO BRASILEIRO DE EXCELENCIA - UNIDADE VILA VELHA;Privada;96.4;3.6;0;Sudeste;ES;Urbana;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;1
6901;32073003;ESCOLA EDWARD DODD LTDA;Privada;--;--;--;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0
6902;32076606;CE RADIER;Privada;91.8;8.2;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1
6903;32078498;IFES - CAMPUS VILA VELHA;Federal;96.7;1.6;1.7;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
6904;32079230;EEEM MARIO GURGEL;Estadual;99.7;0.1;0.2;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0
6905;32079931;ESCOLA MARISTA CHAMPAGNAT TERRA VERMELHA;Privada;77.3;22.7;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
6906;32081634;CEEFMTI PASTOR OLIVEIRA DE ARAUJO;Estadual;100;0;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0
6907;32039999;CE AGOSTINIANO;Privada;96.3;2.5;1.2;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1
6908;32040067;EEEM COLEGIO ESTADUAL DO ESPIRITO SANTO;Estadual;90.8;3.9;5.3;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
6909;32040075;COLEGIO SAGRADO CORACAO DE MARIA;Privada;95.7;4.3;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0
6910;32040083;COLEGIO SALESIANO N S DA VITORIA;Privada;98.6;1.4;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1
6911;32040164;EMEF ADEVALNI SYSESMUNDO FERREIRA DE AZEVEDO;Municipal;--;--;--;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1
6912;32040210;ESCOLA CRESCER;Privada;100;0;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
6913;32040334;EEEFM IRMA MARIA HORTA;Estadual;91.6;7.6;0.8;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1
6914;32040423;EMEF ALVIMAR SILVA;Municipal;--;--;--;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
6915;32040458;EMEF CECILIANO ABEL DE ALMEIDA;Municipal;--;--;--;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0
6916;32040598;EMEF NEUSA NUNES GONCALVES;Municipal;--;--;--;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0
6917;32040601;EMEF PADRE ANCHIETA;Municipal;--;--;--;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1
6918;32040679;EMEF SUZETE CUENDET;Municipal;--;--;--;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1
6919;32040695;EEEFM AFLORDIZIO CARVALHO DA SILVA;Estadual;89;1.2;9.8;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
6920;32040725;EEEFM MAJOR ALFREDO PEDRO RABAYOLLI;Estadual;91.5;6.3;2.2;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
6921;32040784;CEEMTI PROF FERNANDO DUARTE RABELO;Estadual;94.6;2.6;2.8;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1
6922;32041152;ESCOLA SAO DOMINGOS;Privada;98.3;1.7;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
6923;32041209;IFES - CAMPUS VITORIA;Federal;87.6;11.6;0.8;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
6924;32041390;CAT JOSE TARQUINIO SILVA;Privada;98.2;1.8;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1
6925;32041527;EMEF JUSCELINO KUBITSCHEK DE OLIVEIRA;Municipal;--;--;--;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1
6926;32041560;EEEFM ALMIRANTE BARROSO;Estadual;91;4.4;4.6;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0
6927;32041640;EEEM ARNULPHO MATTOS;Estadual;95.5;2.8;1.7;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0
6928;32063199;EEEFM ELZA LEMOS ANDREATTA;Estadual;89.7;4.5;5.8;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0
6929;32070144;SENAI ES - CENTRO DE EDUCACAO E TECNOLOGIA ARIVALDO FONTES;Privada;96.4;0;3.6;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1
